devCode,018888,068888,028888,038888,018888
devDate,20160627,20170228,20161229,20170601,20160627
devSeq,031816,000123,025600,231000,031816
devTime,150923,161220,170101,160818,150923
accBal,000123456789,000067890567,000000234567,000456789123,000123456789
cardNo,631234989898987067890123456789,631234989898987067890123456700,632234989898987067890123456789,631234989898987067890123456799,631234989898987067890123456789
certNo,352225197912201510,352225196712181557,622301198010186336,150203197008032715,zzc
certType,1,2,3,4,1
corpMonAmt,,00001196,00002196,003196,00000196,
corpPcnt,,00001196,002021,002311,000000001200,
curDate,,2018-07-19,2019-07-20,2017-05-21,2017-07-18,
dgBase,,000016300001,000016300002,000016300003,000016300000,
dgCorpName, ,QYMC-2,QYMC-3,QYMC-4,QYMC-1,
dgCorpPrp,,08,11,24,02,
dgCorpRel,,05,02,09,03,
dgStat,,1,2,9,0,
accNo,,3201000001396846,3201100001396749,3201000001396700,3201000001396745,
lastCtnMon,,000002,000003,000012,000001,
lastEaDate,,2015-02-25,2014-12-06,2014-12-27,2014-12-24,
custName,林朝庆,吴少文,达志国,吴军,default,
openDate,,2001-11-03,2001-01-04,2001-10-30,2001-01-02,
origDate,,2001-11-04,2001-01-05,2001-11-1,2002-07-07,
psMonAmt,,000001960001,000001960002,000001960003,000001960000,
psPcnt,,000000001201,000000001202,000000001203,000000001200,
sex,0,0,1,2,2,
stopMon,,000001,000012,000003,000000,
telNo,,1740193996,12401939965,18401939965,13401939965,
yrCpsAmt,,000000020000,00000001100,0000000888,000000030000,
yrDgAmt,,000000398767,00006789034,0000003456,000003920000,
yrExtrAmt    ,,000000030000,000000023400,0000000789,000000020000,
yrInt,,000000045678,000000045678,0000000006,000005225400,
servCode,,0002,0003,0004,0005,
tranCode,111152,111152,111152,111152,111152,
ansCode,01,00,00,00,00,
ansMsg,NOP,SUCCESS,SUCCESS,SUCCESS,SUCCESS,
