devCode,018888,068888,028888,038888,018888
devDate,20160627,20170228,20161229,20170601,20160627
devSeq,031816,000123,025600,231000,031816
devTime,150923,161220,170101,160818,150923
certType,1,2,3,4,2
certNo,352225197912201510,352225196712181557,622301198010186336,150203197008032715,zzc
accNo,,3201000001396846,3201100001396749,3201000001396700,3201000001396745,
ctraNo,,100003452987122,100003956987120,100003456987125,100003456987123,
cntcAdr,,DIZHI-2,DIZHI-3,DIZHI-4,DIZHI-1,
curRpyStat,,3,4,9,0,
loanAccNo,,0001230000678900067111,0001230000678900067002,0001230000678900067669,0001230000678900067000,
loanAmt,,005000000001,000040000002,000000900000,003000000000,
loanRate ,,000000001002,000000001003,000000000070,000000001001,
loanPerd,,000365,003650,005475,007300,
loanAccStat           ,,5,6,7,2,
monPayCons   ,,000004000001,00000530000,000008000000,000003000000,
statDate,,2001-11-04,2001-01-05,2001-11-1,2002-07-07,
endDate,,2002-11-05,2011-01-05,2016-11-1,2022-07-07,
setlDate,,2002-12-06,2011-02-06,2016-12-2,2022-08-06,
prinBal ,,000000002001,000000002002,000000002003,000000002000,
rpyMtd,,2,3,4,5,
ovduAmt    ,,000000004000,000000005000,000000006000,000000003000,
ovduPerd,,000189,000290,000001,000088,
grntMtd   ,,08,05,08,01,
mgAdr,,DZ-2,DZ-3,DZ-4,DZ-5,
mgEvl,,000056890002,000456890003,000006890004,003456890001,
husCertNo  ,,34702740789374859012384756893789010384957689123485768901283749586970,34702740789374859012384756893789010384957689123485768901283749,34702740789374859012384756893789010384957689123485768901283749980,34702740789374859012384756893789010384957689123485768901283749586970695867463271,
comLoanName           ,,NAME-2,NAME-3,NAME-4,NAME-5,
comLoanId,,32012345678123456700,320123456781234567**,32012345678123456787,32012345678123456789,
isComLoan   ,0,2,1,2,2,
husTot,,023456789056,012345678987,123456000000,001234567892,
servCode,,0002,0003,0004,0001,
tranCode,,120200,120200,120200,120200,
dgStat,0,1,2,9,0,
ansCode,01,00,00,00,00,
ansMsg,NOP,SUCCESS,SUCCESS,SUCCESS,SUCCESS,

